feature,coefficient,abs_coefficient
cat__purchase_month_2017-09,-0.09872324009440722,0.09872324009440722
num__product_total,0.09774175993145924,0.09774175993145924
cat__main_product_category_auto,0.09257602210830336,0.09257602210830336
cat__purchase_dayofweek_Tuesday,-0.09158600293039784,0.09158600293039784
cat__customer_state_PB,-0.0909242089654344,0.0909242089654344
cat__main_product_category_cool_stuff,-0.08861228552864157,0.08861228552864157
cat__purchase_dayofweek_Saturday,-0.0865160160734646,0.0865160160734646
num__payment_total,-0.08642586045725693,0.08642586045725693
cat__purchase_month_2016-10,0.07304998936214745,0.07304998936214745
cat__main_product_category_home_appliances_2,-0.0719102832871973,0.0719102832871973
cat__main_product_category_toys,-0.0681247055978654,0.0681247055978654
cat__customer_state_SC,0.06773059964799749,0.06773059964799749
cat__main_product_category_infrequent_sklearn,0.06646525930806009,0.06646525930806009
cat__purchase_dayofweek_Friday,-0.0655141017239638,0.0655141017239638
cat__main_product_category_health_beauty,0.062183520222504084,0.062183520222504084
cat__main_seller_state_PR,-0.059834867488006045,0.059834867488006045
num__avg_freight_ratio,0.052158339124094316,0.052158339124094316
cat__main_product_category_fashion_underwear_beach,-0.052024920505165786,0.052024920505165786
num__freight_total,0.04825356456138843,0.04825356456138843
cat__customer_state_AL,-0.045583742628850205,0.045583742628850205
num__product_count,0.0449118187696829,0.0449118187696829
cat__main_product_category_home_appliances,0.04342524017992852,0.04342524017992852
num__max_payment_installments,0.04183036065651554,0.04183036065651554
cat__purchase_dayofweek_Sunday,-0.04113711544056787,0.04113711544056787
cat__purchase_month_2017-01,0.041119951754515126,0.041119951754515126
cat__customer_state_RS,0.03710705784201956,0.03710705784201956
cat__purchase_month_2017-10,-0.03428717447120412,0.03428717447120412
cat__main_seller_state_RJ,-0.034168496277143225,0.034168496277143225
cat__primary_payment_type_debit_card,0.03270689224908481,0.03270689224908481
num__freight_share_of_payment,-0.03152552314311238,0.03152552314311238
cat__purchase_dayofweek_Wednesday,-0.03111143394623252,0.03111143394623252
cat__purchase_month_infrequent_sklearn,-0.029065077879855506,0.029065077879855506
num__avg_item_price,-0.027828964619780218,0.027828964619780218
cat__customer_state_RO,0.024655779420413266,0.024655779420413266
cat__customer_state_PA,-0.024447954559468348,0.024447954559468348
cat__purchase_month_2017-04,-0.024000947756184592,0.024000947756184592
cat__purchase_month_2017-03,-0.02229223489889348,0.02229223489889348
cat__main_product_category_watches_gifts,0.02002612168972665,0.02002612168972665
cat__main_product_category_housewares,0.019175522696521927,0.019175522696521927
cat__purchase_dayofweek_Thursday,-0.018317053875810847,0.018317053875810847
cat__purchase_month_2017-11,-0.018265536567356043,0.018265536567356043
cat__customer_state_PE,0.01824387111920357,0.01824387111920357
cat__purchase_month_2017-06,0.017731920475935213,0.017731920475935213
num__approval_time_hours,0.014321146636471766,0.014321146636471766
