feature,coefficient,absolute_coefficient
cat__main_product_category_baby,0.07452691671624094,0.07452691671624094
num__payment_total,-0.07434906477281376,0.07434906477281376
num__product_total,0.07360163845653833,0.07360163845653833
cat__purchase_month_2017-02,-0.07308694378888304,0.07308694378888304
cat__main_seller_state_MG,0.07303600379444042,0.07303600379444042
cat__customer_state_PB,0.07178455400406235,0.07178455400406235
num__seller_prior_avg_delivery_days_mean,0.06745061999590335,0.06745061999590335
num__avg_freight_ratio,0.0674259295264696,0.0674259295264696
cat__purchase_month_2017-03,-0.0643622373789024,0.0643622373789024
cat__main_product_category_small_appliances,0.06255374325226318,0.06255374325226318
cat__customer_state_MT,0.05728298120110897,0.05728298120110897
num__avg_customer_seller_distance_km,0.05710335758817032,0.05710335758817032
num__freight_share_of_payment,-0.05573697032835698,0.05573697032835698
num__avg_product_weight_g,0.0526964133049728,0.0526964133049728
cat__customer_state_DF,0.05230552728481924,0.05230552728481924
num__any_cross_state,0.05166385064061661,0.05166385064061661
cat__main_seller_state_RJ,-0.051571889497768454,0.051571889497768454
cat__main_product_category_infrequent_sklearn,0.05093457875447499,0.05093457875447499
cat__main_product_category_perfumery,-0.04433896272311245,0.04433896272311245
cat__main_product_category_costruction_tools_garden,-0.04398887575511615,0.04398887575511615
cat__main_seller_state_SC,0.04341598845674044,0.04341598845674044
num__max_payment_installments,0.043275987874574505,0.043275987874574505
cat__customer_state_GO,0.041786336895596826,0.041786336895596826
cat__main_product_category_watches_gifts,-0.04158148940129311,0.04158148940129311
cat__purchase_dayofweek_Tuesday,-0.03833617831725207,0.03833617831725207
num__product_count,0.037270260415428205,0.037270260415428205
cat__primary_payment_type_voucher,0.03573928327646474,0.03573928327646474
cat__purchase_month_2017-01,-0.03371593117720503,0.03371593117720503
cat__main_product_category_fashion_bags_accessories,-0.03299701752823542,0.03299701752823542
num__avg_item_price,0.032793616065300714,0.032793616065300714
cat__main_product_category_health_beauty,-0.030494155537408852,0.030494155537408852
cat__purchase_dayofweek_Monday,0.03041738424504035,0.03041738424504035
cat__customer_state_RN,0.02709516579433057,0.02709516579433057
cat__main_seller_state_PR,0.023700866838567043,0.023700866838567043
cat__purchase_dayofweek_Friday,0.02316474646495514,0.02316474646495514
num__freight_total,0.022058790741105963,0.022058790741105963
cat__purchase_dayofweek_Saturday,-0.01407980754221459,0.01407980754221459
cat__customer_state_ES,-0.011366023301537347,0.011366023301537347
cat__customer_state_SC,-0.01109945151759971,0.01109945151759971
cat__purchase_dayofweek_Wednesday,-0.010867013028685644,0.010867013028685644
cat__purchase_dayofweek_Thursday,-0.010846745208366107,0.010846745208366107
cat__main_product_category_toys,-0.010755721830826957,0.010755721830826957
num__estimated_delivery_days,0.006684245748251979,0.006684245748251979
cat__main_product_category_housewares,0.0054281271747551865,0.0054281271747551865
num__payment_count,0.004918198040024847,0.004918198040024847
cat__main_product_category_tablets_printing_image,-0.0037726755155859447,0.0037726755155859447
num__avg_product_volume_cm3,-0.0027259946568927167,0.0027259946568927167
num__new_seller_order,0.0026993905600736557,0.0026993905600736557
cat__main_product_category_market_place,-0.0026599229786144454,0.0026599229786144454
cat__customer_state_CE,0.0019331708012704427,0.0019331708012704427
num__product_category_count,0.00133227455495635,0.00133227455495635
num__payment_type_count,-0.0005741387503389184,0.0005741387503389184
