segment,orders,delivered_orders,reviewed_orders,low_review_orders,late_orders,gross_payment_volume,dimension,low_review_rate,late_rate,share_of_orders,share_of_low_reviews,share_of_late_orders,share_of_payment,low_review_contribution_index,late_contribution_index,expected_low_reviews_at_average,excess_low_reviews,expected_late_orders_at_average,excess_late_orders
PA,8,8,8,0,1,1393.11,main_seller_state,0.0,0.125,8.044971390070494e-05,0.0,0.00012776287210936502,8.702112113567185e-05,0.0,1.588108470678421,1.178275718788321,-1.178275718788321,0.6489355086133626,0.3510644913866374
PB,34,33,33,7,2,18609.47,main_seller_state,0.21212121212121213,0.06060606060606061,0.000341911284077996,0.00048166242345007914,0.00025552574421873004,0.0011624472892597507,1.4087350897146858,0.747345162672198,4.860387340001824,2.1396126599981757,2.6768589730301207,-0.6768589730301207
PE,404,401,401,43,18,103752.47,main_seller_state,0.10723192019950124,0.04488778054862843,0.004062710551985599,0.0029587834583362006,0.0022997316979685703,0.0064809356475764015,0.7282781828723023,0.5660584647962689,59.06107040426459,-16.06107040426459,32.527892369244796,-14.527892369244796
PI,12,11,12,2,0,3184.5,main_seller_state,0.16666666666666666,0.0,0.00012067457085105741,0.0001376178352714512,0.0,0.00019892094684306841,1.1404045964356981,0.0,1.7674135781824816,0.23258642181751843,0.8922863243433735,-0.8922863243433735
PR,7603,7442,7546,1033,485,1460714.67,main_seller_state,0.13689371852637158,0.06517065305025531,0.07645739684838246,0.07107961191770454,0.06196499297304203,0.09124407135310415,0.9296629868089513,0.8104512516417562,1111.408571747084,-78.4085717470839,603.6722568875805,-118.67225688758049
RJ,4305,4179,4270,591,355,936932.37,main_seller_state,0.13840749414519907,0.0849485522852357,0.04329200229281684,0.040666070322713826,0.04535581959882458,0.05852582011880047,0.9393437163672441,1.0476720224684588,628.9046649032664,-37.904664903266394,338.9876863119053,16.012313688094707
RN,49,49,49,5,5,10682.15,main_seller_state,0.10204081632653061,0.10204081632653061,0.0004927544976418178,0.00034404458817862793,0.0006388143605468251,0.0006672643719012978,0.6982068957769578,1.2964150781048331,7.216938777578466,-2.2169387775784664,3.974729990256846,1.0252700097431542
RO,14,14,14,4,0,5553.27,main_seller_state,0.2857142857142857,0.0,0.00014078699932623364,0.0002752356705429024,0.0,0.0003468870235437923,1.9549793081754827,0.0,2.061982507879562,1.938017492120438,1.1356371400733845,-1.1356371400733845
RS,1971,1944,1953,186,84,436151.64,main_seller_state,0.09523809523809523,0.043209876543209874,0.01982079826228618,0.01279845868024496,0.010732081257186662,0.027244370292340118,0.6457085386211259,0.5414555516468285,287.64655984919887,-101.64655984919887,157.6913285930471,-73.6913285930471
SC,3623,3559,3601,477,215,739110.82,main_seller_state,0.13246320466537073,0.06041022759202023,0.03643366418278175,0.032821853712241104,0.02746901750351348,0.04616882529011044,0.9008661206179871,0.7539460583954964,530.371357919593,-53.37135791959304,288.6951843943697,-73.69518439436968
