seller_state,customer_state,seller_orders,seller_gmv,avg_distance_km,avg_delivery_days,late_rate,low_review_rate
MG,ES,167,23974.02,520.1010694159331,14.897163728099356,0.041916167664670656,0.1377245508982036
MG,BA,364,55345.78,1048.044933648575,18.01188501602564,0.10164835164835165,0.13736263736263737
RJ,SP,1332,288641.22,402.16213453738,11.72258208729563,0.08858858858858859,0.13663663663663664
PR,DF,147,31102.27,1041.0541792916836,13.323284202569916,0.04081632653061224,0.1360544217687075
SP,RS,3637,521911.65,906.4947604710278,16.08209594512692,0.07368710475666758,0.1358262304096783
SP,MT,655,113824.76,1343.8650520681576,17.496236499858636,0.06412213740458016,0.13435114503816795
SP,MG,7489,1086654.78,495.4176028651199,12.283530806602771,0.0615569501936173,0.1319268260114835
PR,ES,108,19520.16,1190.5751941876513,17.638476080246914,0.08333333333333333,0.12962962962962962
SP,PR,3132,463939.07,462.98966706602374,12.672562367703751,0.05140485312899106,0.12675606641123882
MG,RS,280,45204.87,1249.8141750812274,17.154502645502646,0.05,0.125
MG,SC,249,41900.14,908.3161774950258,16.937305378923103,0.08433734939759036,0.12449799196787148
PR,MG,824,159069.81,881.1516555922024,13.842773606054477,0.04975728155339806,0.12378640776699029
SC,SP,1326,230084.69,512.4511291631101,12.038559568948662,0.042986425339366516,0.12141779788838612
MG,GO,149,23988.99,635.5158046427891,14.051205878697488,0.026845637583892617,0.12080536912751678
SC,RS,296,52485.29,420.85747729732753,12.741555461711712,0.057432432432432436,0.11824324324324324
DF,SP,296,40040.08,822.3986717511339,10.89841622872873,0.030405405405405407,0.11486486486486487
RJ,BA,133,30246.760000000002,1187.1375568347862,16.92239035087719,0.10526315789473684,0.11278195488721804
SP,RO,169,33863.96,2193.231305645294,19.39954806322595,0.029585798816568046,0.11242603550295859
SP,SP,30945,3960087.23,150.4608010815114,7.9076473083357275,0.06088221037324285,0.11226369365002424
RJ,MG,552,116645.34,379.0446279033221,12.066327642746915,0.06702898550724638,0.1105072463768116
MG,PE,110,16360.34,1696.3708764784035,16.60922685185185,0.08181818181818182,0.10909090909090909
BA,SP,138,77821.95,1416.3661868635122,11.37671916935051,0.050724637681159424,0.10869565217391304
RJ,SC,113,25095.57,808.2892876597851,14.712966547853163,0.09734513274336283,0.10619469026548672
PR,SP,2953,516834.48,469.85687975771907,11.091528299061846,0.03420250592617677,0.10497798848628513
PR,RS,593,99800.73,629.2827820528053,13.343905225313847,0.050590219224283306,0.1045531197301855
PR,SC,395,68415.52,386.7226811308065,13.328378809188935,0.06329113924050633,0.10379746835443038
RJ,RJ,951,194022.82,55.176716628077585,6.5869390164349415,0.06309148264984227,0.10304942166140904
RJ,GO,107,21020.35,956.981511227613,14.85550255278643,0.06542056074766354,0.102803738317757
MG,SP,2546,370005.51,417.29339618148805,10.827903372859888,0.0420267085624509,0.10251374705420267
PE,SP,104,26411.66,2098.262353523893,11.891561720975783,0.028846153846153848,0.09615384615384616
MG,DF,174,34364.44,603.0098641717738,11.751011467645807,0.034482758620689655,0.09195402298850575
MG,MG,1527,205202.61,260.13488826062854,8.658936670789979,0.03143418467583497,0.08906352324819908
MG,PR,365,57610.09,810.9730464211034,12.731325976661592,0.019178082191780823,0.08767123287671233
SC,PR,287,49864.4,358.35564027171887,11.047786569234741,0.0313588850174216,0.08710801393728224
RS,PR,140,21766.48,582.3008695410446,10.078092592592592,0.04285714285714286,0.08571428571428572
SC,SC,258,51184.41,145.79582354277176,8.515659542779213,0.06201550387596899,0.08527131782945736
PR,PR,713,114776.17,219.08783516259933,8.20396394992468,0.04207573632538569,0.08274894810659186
GO,SP,126,24944.41,764.0328609173234,10.841812353027631,0.03968253968253968,0.07936507936507936
RS,SP,671,133281.35,861.5057584601498,10.131541973698736,0.022354694485842028,0.07749627421758569
RJ,ES,100,18122.71,402.34648387209245,12.563596990740741,0.02,0.07
RS,MG,187,48879.53,1294.5637710183375,11.728509853436325,0.026737967914438502,0.058823529411764705
RS,SC,117,22692.02,352.97752846617493,9.335189933523267,0.0,0.042735042735042736
RS,RS,288,60850.55,146.029942231431,7.394767875514404,0.052083333333333336,0.041666666666666664
