main_product_category,customer_state,orders,delivered_orders,reviewed_orders,low_review_orders,late_orders,gross_payment_volume,segment_family,segment,low_review_rate,late_rate,share_of_low_reviews,share_of_orders,expected_low_reviews_at_average,excess_low_reviews,priority_score,route_type,main_seller_state,delivery_delay_bucket
watches_gifts,,3676,3588,3640,590,354,892583.99,category_route,watches_gifts / cross_state,0.1620879120879121,0.09866220735785954,0.0405972614050781,0.036966643537373924,536.115452048686,53.88454795131395,23.22600663496893,cross_state,,
unknown,SP,953,555,943,397,44,152766.05,category_state,unknown / SP,0.4209968186638388,0.07927927927927927,0.027317140301383058,0.009583572168421477,138.88925035217335,258.11074964782665,22.792781278100072,,,
bed_bath_table,SP,4385,4317,4345,598,220,559685.61,category_state,bed_bath_table / SP,0.1376294591484465,0.05096131572851517,0.0411477327461639,0.04409649943182389,639.9509997669069,-41.950999766906875,22.489886898681558,,,
,,352,352,350,268,352,60043.63,delay_route,8_14_days_late / same_state,0.7657142857142857,1.0,0.01844078992637446,0.0035397874116310174,51.54956269698904,216.45043730301097,20.493089404788787,same_state,,8_14_days_late
,,530,530,521,296,530,79746.22,delay_route,4_7_days_late / same_state,0.5681381957773513,1.0,0.020367439620174774,0.005329793545921702,76.73520618608941,219.2647938139106,20.311995565628088,same_state,,4_7_days_late
bed_bath_table,,4042,3984,4009,518,196,506645.97,category_route,bed_bath_table / same_state,0.12920927912197555,0.04919678714859438,0.03564301933530586,0.04064721794833117,590.4634195777974,-72.46341957779737,20.162736025835102,same_state,,
housewares,,3475,3388,3451,485,252,516622.41,category_route,housewares / cross_state,0.1405389742103738,0.0743801652892562,0.033372325053326914,0.03494534447561871,508.278688192312,-23.278688192312018,19.72595232595246,cross_state,,
,,3324,3235,3302,478,293,736301.92,seller_state_route,RJ / cross_state,0.14476075105996367,0.09057187017001546,0.03289066262987683,0.0334268561257429,486.3333029298795,-8.333302929879494,19.684976634567775,cross_state,RJ,
telephony,,2759,2684,2738,436,261,291867.96,category_route,telephony / cross_state,0.15924032140248356,0.09724292101341282,0.03000068808917636,0.027745095081505616,403.2648647553029,32.73513524469712,18.991837005248676,cross_state,,
,,3361,3305,3340,451,199,686111.45,seller_state_route,SC / cross_state,0.13502994011976047,0.06021180030257186,0.031032821853712242,0.03379893605253367,491.930112594124,-40.93011259412401,18.627310111231854,cross_state,SC,
auto,,2414,2354,2401,393,223,482309.32,category_route,auto / cross_state,0.16368179925031237,0.09473237043330501,0.027041904630840156,0.024275701169537717,353.6300001013449,39.369999898655124,17.8708592845293,cross_state,,
computers_accessories,SP,2673,2610,2662,398,140,397424.9,category_state,computers_accessories / SP,0.14951164537941397,0.05363984674329502,0.027385949219018785,0.026880260657073038,392.07124542681385,5.928754573186154,17.612763848985548,,,
,,1655,1655,1641,341,1655,278342.57,delay_route,1_3_days_late / cross_state,0.20780012187690433,1.0,0.023463840913782428,0.016643034563208335,241.69380681645436,99.30619318354564,17.303199171430084,cross_state,,1_3_days_late
bed_bath_table,RJ,1381,1345,1359,308,223,180688.74,category_state,bed_bath_table / RJ,0.22663723325974983,0.1657992565055762,0.02119314663180348,0.01388763186210919,200.15958772916605,107.84041227083395,16.563185742682045,,,
garden_tools,,2372,2315,2357,358,229,445187.68,category_route,garden_tools / cross_state,0.1518879932117098,0.09892008639308855,0.02463359251358976,0.023853340171559014,347.1494836480091,10.850516351990905,16.509579346566316,cross_state,,
furniture_decor,SP,2680,2621,2662,364,151,342624.95,category_state,furniture_decor / SP,0.13673929376408714,0.057611598626478445,0.025046446019404114,0.026950654156736156,392.07124542681385,-28.071245426813846,16.25689407776479,,,
health_beauty,SP,3767,3694,3741,387,262,519559.67,category_state,health_beauty / SP,0.10344827586206896,0.07092582566323768,0.026629051125025803,0.03788175903299444,550.9911829983886,-163.99118299838858,15.777907366972913,,,
